GeoID,TractNum,TotalValueSampleUnits,MedianPropertyValue,TotalRentSampleUnits,MedianGrossRent,TotalIncomeSampleHouseholds,MedianIncome,TotalOccupationSamplePop,PercentOccupation_management_business_science_arts ,PercentOccupation_sales_office,TotalIndustrySamplePop,PercentIndustry_wholesale trade,PercentIndustry_information,PercentIndustry_finance and insurance_real estate,PercentIndustry_professional_scientific_management_administrative_wastemanagement,PercentIndustry_educational_healthcare_socialAssistance,PercentIndustry_PublicAdmin,TotalEducSample_over25,PercentEducAttainment_BachelorOrHigher
1400000US42101035702,357.02,648,231900,1063,1133,1776,48333,1834,27.5,18.4,1834,0.7,4,5,9.5,21,0.4,3080,36.9
1400000US42101035800,358,1659,280700,646,1124,2305,59764,2603,38.5,21.3,2603,4.3,0.4,6.3,9.1,33.8,7.3,4741,39.4
1400000US42101035900,359,1457,266300,616,770,2159,58772,1988,36.8,22.6,1988,2.9,6.4,3.1,12.2,27.3,18.8,4064,33.8
1400000US42101036000,360,752,249800,539,982,1291,56250,1468,41.7,13.4,1468,4.2,3.5,5.2,14.6,31.1,5.7,2793,38
1400000US42101036100,361,839,231100,697,1347,1536,64688,2057,29.7,17.5,2057,1.8,0,5.7,9.4,31,3,2864,15.9
1400000US42101036201,362.01,1338,202300,629,1317,1985,77788,2567,43.2,31.5,2567,3.4,0.7,4.4,19.6,22.9,14.8,4086,27.6
1400000US42101036202,362.02,1888,228300,469,1331,2388,82262,2812,33.1,16.1,2812,1.1,0,4.3,11,33.5,8.4,4373,30.9
1400000US42101036203,362.03,1617,225300,190,1003,1847,73063,2308,43.7,20.2,2308,2.3,0,8.5,9.3,24.3,10,3629,27.6
1400000US42101036301,363.01,1129,231700,269,1096,1474,77115,1916,29.9,32.8,1916,2.5,1.3,10.2,6.6,24.2,5.8,3004,24.7
1400000US42101036302,363.02,973,191100,373,1389,1346,65612,1805,29.4,17.5,1805,4.3,5.8,1.7,9.1,22.9,12.1,2565,24.6
1400000US42101036303,363.03,2182,228300,130,1375,2312,102316,3450,50.5,22,3450,2.6,0.7,7.5,11.1,35.2,7.7,4647,26.8
1400000US42101036400,364,273,364200,17,,294,110139,283,54.4,20.5,283,1.4,0,11.7,13.4,31.8,9.5,1016,19.7
1400000US42101036501,365.01,1104,278200,1049,1239,2168,59402,2508,38.8,14.4,2508,1.3,2.1,5.5,7.2,28.3,7.8,3709,31.1
1400000US42101036502,365.02,1286,275300,418,957,1725,86615,2451,44,25.4,2451,1,3,6.3,8.3,25.2,6.3,3143,35.9
1400000US42101036600,366,570,459000,596,2124,1205,144659,1662,77.4,12.3,1662,2.9,0.4,10.3,13.8,29.6,2.2,1972,75.3
1400000US42101036700,367,811,513000,765,2112,1576,150952,2623,74.6,11.6,2623,5.6,4,10.4,18.4,26.8,2.6,2702,80.9
1400000US42101036902,369.02,0,,908,2389,912,27821,1898,56,28.5,1898,0,1.1,5.1,9.1,50.3,3.2,820,74
1400000US42101037200,372,1349,252500,391,1501,1763,60643,1820,40,17.2,1820,6,2.7,4.7,12.1,23.8,7.6,3099,23.2
1400000US42101037300,373,1605,382300,1174,1510,2779,88348,2975,52.4,19.6,2975,2.7,0.8,4.6,8.2,25.9,19.6,4233,47.1
1400000US42101037500,375,811,233400,541,1733,1352,75000,1520,57.1,23.8,1520,0,1.6,4.5,16.1,36.8,8.8,2382,52.5
1400000US42101037600,376,477,348900,1214,1748,1716,94399,2191,69.5,13.6,2191,0,4.7,10.7,18.8,27.2,4.4,3130,62.2
1400000US42101037700,377,242,134800,1184,945,1467,19437,1771,25.4,22.2,1771,0,2.1,0,0.4,26.1,6.5,1755,13.4
1400000US42101037800,378,659,230000,460,1553,1133,62411,1377,54.9,26.7,1377,0.7,0.9,13,21.1,23.4,13.9,1906,44.5
1400000US42101037900,379,1698,169000,686,1267,2384,55517,2625,38.9,23.3,2625,2.1,1.4,3.7,14.9,22.4,7.7,4004,28
1400000US42101038000,380,477,121500,274,1090,762,45417,863,16.3,24.8,863,3.1,0,1.6,14.6,25.3,5.6,1491,18.4
1400000US42101038100,381,146,83600,190,1271,348,32773,319,22.9,24.8,319,0,0,3.1,6.6,40.8,3.1,651,10.6
1400000US42101038200,382,852,80900,364,1050,1224,39317,1040,27.4,23.2,1040,1.3,0,3.9,7.3,31.2,10.6,2022,11.8
1400000US42101038301,383.01,326,57200,375,1001,701,,707,13.2,22.2,707,1,0,0,19.2,18,0,1799,6.7
1400000US42101038400,384,829,297300,196,1415,1030,95455,1324,49.5,20.6,1324,1.7,1.1,9.1,8.5,32.6,11.4,1977,50.4
1400000US42101038500,385,544,670000,342,1469,897,107375,909,64.1,24.1,909,2.4,0.6,10.9,18,32.6,5,1496,77.5
1400000US42101038600,386,451,768500,136,1647,589,144531,763,80.7,10.5,763,0.5,12.3,11.9,24.1,28.2,1.7,1065,85.1
1400000US42101038700,387,604,547500,214,1692,829,118750,1218,62.7,14.7,1218,0,2.1,7.4,16.6,37,3.4,1734,73.8
1400000US42101038800,388,1012,338400,561,1150,1643,84632,2024,69.4,11.9,2024,1.6,1,6.7,14.8,35,4.9,2818,70.5
1400000US42101038900,389,750,224200,547,903,1305,46250,1200,37.6,17.7,1200,0,1.7,9.3,14.1,31.5,9.2,2659,25.2
1400000US42101039001,390.01,576,116700,675,919,1251,33711,1585,23.6,20.1,1585,1.1,1.7,1.3,3.5,45,0,2294,11.2
1400000US42101039002,390.02,1485,156100,107,877,1622,55965,1939,20.9,18.8,1939,0,2,3.7,5,31.8,1.2,2843,29.7
1400000US42101039100,391,181,74600,826,464,1161,30077,1147,13.3,26.2,1147,0,0.8,0,18.6,37.6,2.4,1891,7.6
1400000US42101980200,9802,17,,0,,17,,42,52.4,23.8,42,0,0,31,0,21.4,9.5,364,21.7
1400000US42101989100,9891,0,,0,,0,,11,100,0,11,0,0,0,0,0,100,1207,1.5
